published_at,description
2016-08-04,"등 작살 루틴(backworkout routine) 여름방학 ep22등허리 자극 운동 루틴
깊이 집중하면 할수록 근육 수축의 긴장은 높아지고,
수축 긴장이 높아질수록 근육이 내는 힘은 강력하다고 합니다. 화이팅!"
2016-08-06,"데드리프트와 벤치프레스 개인기록 도전! 여름방학 ep 24데드리프트와 벤치프레스에 도전해봤어요
컨디션이 좋은 듯 안 좋은 듯, 수련이 더 필요한 시기입니다... ㅎㅎㅎ
모두 건강히 운동하세요!
데드리프트pr, 벤치프레스pr, 개인기록 도전"
2016-08-06,"말벅지 만들기(어깨운동 포함) 여름방학 ep23하체운동과 어깨운동 루틴에 대한 영상!
이번 영상에서는 스트렝스보다 자극운동에 초점을 맞췄습니다.
1~2주 간은 자극 운동에 계속 초점을 맞출 예정입니다 ㅎㅎ
좋아요 & 구독 부탁드려요!"
2016-08-08,"올림픽 우승기원 유도한판(배밀기100개도전) 여름방학 ep26오늘은 리프팅을 쉬고 유도에 집중했습니다!
안창림선수는 아쉽게도 졌지만 남은 선수들 모두 힘냈으면 좋겠어요.
여러분들 모두 득근하세요!"
2016-08-10,"의 역도 입문기 (스내치 위주) 여름방학 ep 27올림픽 시즌이기도 해서 역도에 한번 도전해봤어요!
앞으로는 3대운동 훈련 끝내고 마무리로 기술 연습하는 영상 함께 올리도록 할게요! ㅎㅎ 너무나 더운데 모두 득근하세요!"
2016-08-12,"가슴 커지는법 - 가슴 자극 운동(3대운동 집중) 여름방학 ep28가끔은 친구들과 놀면서! 
즐겁게 운동하는 것도 중요한 것 같아요
https://www.youtube.com/watch?v=qvaak__zpkk
영상에서 말한 앨런의 스내치 방법 영상 링크입니다!

가슴 집중 공략! (벤치프레스, 벤치프레스루틴)
저는 3대운동 위주로 운동합니다"
2016-08-13,"의 운동 콜라보(스퀏 개인기록(pr) 도전) 여름방학 ep29운동은 함께 할 때 시너지 효과가 발생하죠!
혼자서 하는 것도 매력적이지만 같이 하는 것 또한 즐거운 운동인 것 같아요. 이럴 때 오히려 기록이 잘 나오기도 하죠!
무더운 여름! 운동으로 풀어버립시다!"
2016-08-14,"맨몸 홈트루틴 (턱걸이, 푸쉬업)'s 맨몸운동 루틴입니다. 턱걸이랑 푸쉬업 루틴이고
자신의 몸에 맞게 변형 시켜서 해보세요!
확실히 맨몸운동은 시간을 더 필요로 합니다... 
맨몸운동을 메인트레이닝으로 삼지 마시고 가끔 일주에 한번 정도 해주는 게  좋을 것 같아요 ㅎㅎㅎ
턱걸이 기록 도전을 위하여!
-맨몸운동하는법, 홈트하는법, 맨몸,"
2016-08-15,"컨벤셔널 데드리프트 연습(하이바 스쿼트 연습 포함) 여름방학 ep 31컨벤셔널 데드와 하이바스퀏 연습 영상입니다!
제가 평소 스모데드와 로우바 스퀏을 해서 그런지
컨벤셔널과 하이바 스퀏 자세가 약합니다... 앞으로 클린,저크와 스내치 동작을 잘 수행하려면 컨벤자세와 하이바스퀏 자세가 익숙해야 하므로 계속 연습하려합니다! 여러분도 모두 화이팅 하세요!!"
2016-08-17,"'s 가슴박살 루틴(피라미드세트)& 일상(브이로그) 여름방학 ep33가슴운동, 즉 벤치프레스 피라미드 세트 루틴입니다!(자극위주, 자극운동) + 딥스, 케이블 플라이 운동
자신의 무게에 맞게 즐기며! 운동합시다 ㅎㅎㅎ
좋아요 & 구독 부탁드려요!(일상도 함께)

저는 3대운동 위주로 운동합니다"
2016-08-20,"가슴 운동 루틴 대공개(피라미드 세트), 브이로그 여름방학 ep34피라미드 세트로 구성된 가슴운동 루틴입니다! 
자신의 중량에 맞게 조절하여 수행하시면 강력한 가슴을 만들 수 있을 거예요 모두 득근, 열운 하세요!, 브이로그, 일상생활"
2016-08-21,"deadlifts party (데드리프트 파티) 여름방학 ep35데드리프트 파티 + 등 자극 운동
가끔 날잡고 데드리프트 파티 하는 것 어때요?!
다음에는 스쿼트 파티로 찾아올게요! - "
2016-08-23,"5x5x5 홈트 루틴(푸쉬업, 풀업, 스쿼트) 여름방학 ep36맨몸운동하는법
일주에 한 번! 홈트 하는 것도 좋습니다! ㅎㅎ
모두 홧팅!!
- 올림"
2016-08-24,"하체, 어깨 기본 운동 루틴(feat. 고양이용사) 스트렝스 훈련 │ 여름방학 ep37제가 가장 좋아하는, 간단하지만 폭발력있는 루틴입니다(하체와 어깨 기본 스트렝스 훈련)
풀스쿼트 & 오버헤드프레스(ohp 밀리터리프레스)
그리고 오프닝에 나오시는 분은 아프리카티비에서 음악방송 하시는
'bj 고양이용사' 님인데, 제  홍보도 해주시고! 음악도 너무 좋으셔서 여러분과 공유하고 싶어 소개해드려요! ㅎㅎ

저는 3대운동 위주로 운동하고 있고
가슴 / 등 허리 / 하체(스쿼트) 어깨(밀리터리프레스) 로 3분할 하고 있습니다."
2016-08-26,비오는 날(등 운동) 여름방학 ep38비가 옵니다! 날씨가 선선해졌어요 이제 운동을 강력하게 밀어붙일 때가 된 것 같아요 ㅎㅎㅎ 다음주부터 스트렝스 훈련 루틴으로 달려보겠습니다!
2016-08-28,"인터벌 & 맨몸 운동(홈트)  │ 여름방학 ep 40인터벌 10세트 그리고 맨몸운동 3세트(스파이더맨 푸쉬업, 버피, 홈트) , 하체와 상체 고루 발달시킬 수 있는 운동이니다.
요즘 살이 많이 찌고 있어서.... 다이어트를 위해 인터벌과 맨몸에 투자를 많이 하는 중입니다 ㅎㅎ 
그러나 이번주부터는 스트렝스 훈련을 시작하니! 기대해주세요
여름방학 ep40

장소는 경희대 평화의 전당입니다.(야외운동)"
2016-08-28,"홈트#3 & 브이로그(일상), 턱걸이 기록 │ 여름방학 ep39새로운 홈트 루틴!  버피 & 스쿼트 & 푸쉬업 의 조화(맨몸운동)
총 3세트로 구성되어 강도는 높게, 시간은 절약!(운동 시간 부족한 날에 시도해보세요)
간편운동, 간단운동!(strength)
그리고 일상을 많이 담아봤어요 ㅎㅎ"
2016-08-29,"madcow 스트렝스 훈련(벤치, 스쿼트, 로우) │ 여름방학 ep 41madcow 스트렝스 프로그램을 시작했습니다!
(초보에서 중급으로 넘어가는 분들을 위해 변형된 프로그램입니다)
크로스핏 하시는 분들이 많이들 이용하시더라구요 
저도 9주동안 진행하게 될텐데 이번 사이클을 무사히 마치면
더 강해지기를 바라며!

저는 3대운동 위주로 운동을 진행하며(3대중량 증가가 목표입니다 ㅎㅎ)
곁가지 운동들은 가끔씩 해주고 있습니다."
2016-08-31,"데드리프트, 스쿼트, 벤치프레스(스트렝스 증가루틴) 여름방학 ep최종스트렝스 증가 루틴 1주차 2일(1w1d) - 파워리프팅
스쿼트 : 60kg 5reps / 75kg 5reps/ 92.5kg 5reps/ 92.5kg 5reps
인클 벤치 : 40kg 5reps/ 50kg 5reps/ 60kg 5reps / 67.5kg 5reps
데드리프트 : 92.5kg 5reps / 112.5kg 5reps / 130kg 5reps / 150kg 5reps
크런치 3세트 25회"
