published_at,description
2016-11-28,"앞으로의 계획, 작은 목표(스쿼트, 프레스, 대학생활, 일상, 브이로그) 복학생 ep45여러분의 앞으로 계획은 무엇인가요?! 즐기면서 할 수 있는 일을 찾기란 정말 힘든 것 같아요 찾았다고 해서 끝나는 것도 아니고... 계속 고민하면서 살아가야 되는 듯 합니다...ㅎㅎ 우선 작은 목표를 정했습니다! 
그 목표를 품고 운동과 함께 열심히 생활해야지요!
여러분도 모두 화이팅 하시구요! ㅎㅎㅎ
날 추운데 감기 조심하세요!
그리고 항상 3대운동 위주의 트레이닝! 잊지 마시구요

 - "
2016-11-27,"초간단 홈트(신토익 도전, 중학교친구, 일상, 브이로그) 복학생 ep44주말이라 아주 간단한 홈트레이닝(홈트루틴)을 해봤어요!(맨몸운동)
홈트 위주로 하시는 분들은 횟수나 세트를 조금더 늘려서 도전해보세요!
그리고 신토익을 봤는데... 음... 망했네요 ㅋㅋ 다시 도전합니다!
곧 기말고사 기간도 다가오네요... 여러분 모두 홧팅하세요!
 -  (3대운동 위주로 하시는 게 가장 중요합니다 언제나!)"
2016-11-25,"등운동 루틴(데드리프트, 경희대, 일상, 브이로그, 3대운동) 복학생 ep 43등운동 루틴 영상 입니다! 루마니안 데드리프트를 포함한 간단한 등운동 루틴이라 쉽게 따라하실 수 있을 거예요! 그리고 대학생활과 제 일상도 함께 담았습니다 ㅎㅎ 
2016년 현재 저는 26살이고 서울에 있는 경희대학교 3학년2학기에 재학중이며 파워리프팅을 좋아합니다. 앞으로의 영상도 운동과 일상 함께 계속 올라갈 거예요! 많은 구독! 부탁드려요!!

 - "
2016-11-23,"인바디 측정(3대중량 측정, 일상, 파워리프팅, 브이로그) 복학생 ep42인바디 측정을 해봤어요! 결과는 영 별로네요 ㅠㅠ
3대 중량 새로 측정해봤는데 벤치 110kg, 데드리프트 195kg(new) 스쿼트 150kg나왔네요 ㅎㅎ 앞으로 파워리프팅 훈련에 집중을 더 해서 3대중량 500kg 에 꼭 도달하겠습니다!!
 -  (3대 운동 위주로!)
a string - loch lomond (free music archive 출처)"
2016-11-21,"하체와 어깨 운동 루틴(스쿼트, 밀프, 일상, 대학생활, 브이로그) 복학생 ep41대회가 끝나고 드디어 웨이트 운동에 집중할 수 있는 시간이 찾아왔습니다. 유산소 없이 여유롭게 중량운동을 했더니 개운하네요 ㅎㅎㅎ
운동 루틴은 영상에 자세히 적어놨으니 영상 참고해주시면 감사해요!
스쿼트위주의 하체운동과 프레스 위주의 어깨운동을 담았고 제 일상과 함께 가끔씩 나오는 노래방 장면....이 담겨있습니다 맨 뒤에..
즐거운 마음으로 시청해주셨으면 좋겠습니다! ㅎㅎ 좋아요 & 구독 꼭 눌러주시고 모두 득근하세요!

 -  (3대 운동이 답입니다!)"
2016-11-20,"서울컵 유도 대회(실력부족, 탈락, 일상, 브이로그) 복학생ep40드디어 서울컵 유도대회가 막을 내렸습니다! 결과는 영.... 별로네요 ㅎㅎㅎ 개인전 1라운드 탈락, 그리고 단체전 8강 탈락!
그런데 부상하나 없이 기분좋게 마무리 할 수 있었습니다!
작년에도 개인전 1라운드 탈락을 했었는데, 내성이 생긴걸까요?
바로 훌훌 털어버리고 단체전에 집중할 수 있었습니다.
개인전 메달은 아직 때가 아닌 것 같습니다. 조금더 훈련에 매진한 뒤에 내년에 다시 도전해볼게요! 여러분도 끝까지 포기말고 운동 화이팅 하시길 바랍니다! ㅎㅎㅎ 
 - "
2016-11-19,"서울컵 유도훈련(유도대회, 살빼는중, 일상, 브이로그) 복학생 ep3911월 20일 일요일에 있을 유도대회를 위한 마지막 훈련영상을 담았습니다! 그리고 여러 사소한 제 일상도 담았어요 ㅎㅎ
편하게 즐겨주시고 대회 영상은 11월 20일 늦은저녁이나 다음날 이른 아침에 업로드 할게요!! 모두 화이팅하시고 즐거운 주말 보내시기를!!!

 - "
2016-11-17,"스트랩 감는법(스쿼트, 스내치, 클린, 브이로그) 복학생ep38스트랩 감는 팁을 살짝 다뤄봤어요. 
오늘의 훈련은 스내치와 클린으로 칼로리 소모를 열심히! 하였습니다
그리고 고중량 스쿼트로 마무리 했어요
체중감량 때문에 유산소를 계속 20분 이상 해주고 있습니다.......
얼른 유도 대회를 마치고 다시 스트렝스 훈련 루틴을 돌리고 싶네요... ㅎㅎㅎ
모두 부상조심하시고 남은 한 주 잘 보내세요! 오늘도 득근입니다!

 - 
아! 항상 3대운동 위주로 훈련진행하시는 것 잊지 마세요!"
2016-11-16,"벤치프레스 루틴(가슴운동, 먹방, 대학생활, 브이로그) 복학생ep37벤치프레스 루틴에 대한 영상입니다! 저는 훈련을 3대운동 위주로 진행하고 있어요. 그래서 그 3대운동이 하루 운동의 70~80%정도를 차지합니다ㅎㅎ 3대중량에 집착할 필요는 없지만 3대운동에 집중할 필요는 있어요. 다른 자잘한 운동들보다는 큰 운동들에 먼저 신경을 써서 균형잡힌 몸을 만드셨으면 좋겠습니다!
화이팅!!!!"
2016-11-15,"루마니안 데드리프트(등운동 루틴, 대학생활, 브이로그) 복학생 ep36간단한 등운동 루틴입니다. 유도대회 준비로 인해 강도 높은 웨이트 훈련을 못하고 있고 유도 기술 훈련과 유산소 위주의 운동을 하고 있습니다ㅎㅎㅎ 
그러나 분명 충분히 괜찮은 등운동 루틴이고 무게만 바꿔서 간단히 실행해볼만 합니다! 초보자 분들은 무게를 낮추셔서 루틴 짤 때 참고해주시길 바래요 ㅎㅎ (3대운동은 언제나 옳습니다 ㅋㅋ)
 - "
